Ticker,Listed Data,City,State,Number of employees,Industry,IPO Price,Current,Return,Year
ABGI,2021-02-17,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
MSAC,2021-04-05,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.71,-2.91%,2021
SLAC,2021-04-05,SCOTTSDALE,AZ,3.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
TSIB,2021-04-05,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
BITE,2021-04-05,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.70,-3.05%,2021
LGVN,2021-02-12,MIAMI,FL,12.0,PHARMACEUTICAL PREPARATIONS,10.0,7.08,-29.20%,2021
TLIS,2021-02-12,MENLO PARK,CA,136.0,LABORATORY ANALYTICAL INSTRUMENTS,16.0,2.54,-84.13%,2021
SCLE,2021-04-05,PHILADELPHIA,PA,3.0,BLANK CHECKS,10.0,9.85,-1.50%,2021
RCLF,2021-03-26,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.84,-1.60%,2021
TCAC,2021-04-05,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.91,-0.90%,2021
NEXI,2021-02-12,GAITHERSBURG,MD,45.0,PHARMACEUTICAL PREPARATIONS,17.0,2.69,-84.18%,2021
CCVI,2021-04-05,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.79,-2.10%,2021
CVII,2021-04-05,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
DBTX,2021-02-12,BOSTON,MA,40.0,PHARMACEUTICAL PREPARATIONS,18.0,4.03,-77.61%,2021
BVS,2021-02-11,DURHAM,NC,900.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,13.0,12.20,-6.15%,2021
BMBL,2021-02-11,AUSTIN,TX,700.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",43.0,27.32,-36.47%,2021
PUCK,2021-03-26,AUSTIN,TX,2.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
SGFY,2021-02-11,NORWALK,CT,2200.0,SERVICES-HOME HEALTH CARE SERVICES,24.0,12.77,-46.79%,2021
APR,2021-02-11,INDIANAPOLIS,IN,6460.0,SERVICES-HOME HEALTH CARE SERVICES,20.0,37.28,86.40%,2021
